#separator:tab
#html:true
Spam - Spam	E-mails não solicitados, que geralmente são enviados para um grande número de pessoas.
Golpe - Golpe do site de leilão e venda de produtos.	Um comprador ou vendedor age de má-fé e não cumpre com as obrigações acordadas ou utiliza os dados pessoais e financeiros envolvidos na transação comercial para outros fins.
Golpe - Phishing (Scam)	Tipo de fraude por meio da qual um golpista tenta obter dados pessoais e financeiros de um usuário, pela utilização combinada de meios técnicos e engenharia social.
Golpe - Pharming	(tipo de phishing)<br>Envolve a redireção da navegação do usuário para sites falsos, por meio de alterações no serviço de DNS (Domain Name System).
Golpe - Golpe do site de comercio eletrônico fraudulento	O golpista cria um site fraudulento, com o objetivo especifico de enganar os possíveis clientes que, após efetuarem os pagamentos, não recebem as mercadorias.
Golpe - Golpe Envolvendo Sites de Compra Coletiva	Golpistas criam sites fraudulentos e os utilizam para anunciar produtos nos sites de compras coletivas e, assim, conseguir grande quantidade de vítimas em um curto intervalo de tempo.
Golpe - Golpe do site de leilão e venda de produtos.	Um comprador ou vendedor age de má-fé e não cumpre com as obrigações acordadas ou utiliza os dados pessoais e financeiros envolvidos na transação comercial para outros fins.
Golpe - Boato (Hoax)	Mensagem que possui conteúdo alarmante ou falso e que, geralmente, tem como remetente, ou aponta como autora, alguma instituição, empresa importante ou órgão governamental
Ataques na Internet - Exploração de Vulnerabilidades	Ataque onde utilizando-se de uma vulnerabilidade, se executam ações maliciosas, como invadir um sistema, acessar informações confidenciais, disparar ataques contra outros computadores ou tornar um serviço inacessível.
Ataques na Internet - Varreduras em Redes (Scan)	Técnica que consiste em efetuar buscas minuciosas em redes, com o objetivo de identificar computadores ativos e coletar informações sobre eles.
Ataques na Internet - Falsificação de e-mail (E-mail spoofing)	Técnica que consiste em alterar campos do cabeçalho de um e-mail, de forma a aparentar que ele foi enviado de uma determinada origem quando, na verdade, foi enviado de outra.
Ataques na Internet - Interceptação de Tráfego (Sniffing)	Técnica que consiste em inspecionar os dados trafegados em redes de computadores, por meio do uso de programas específicos.
Ataques na Internet - Força Bruta (Brute Force)	Consiste em adivinhar, por tentativa e erro, um nome de usuário e senha e, assim, executar processos e acessar sites, computadores e serviços em nome e com os mesmos privilégios deste usuário.
Ataques na Internet - Desfiguração de página (Defacement/Pichação)	Técnica que consiste em alterar o conteúdo da página Web de um site.
